Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Heroku app,Edge Chromium 116,,,2023-08-25 15:56:52,2023-08-25 16:01:56,"5m - 4,226s",FAILED
,,,,,,,
Test Cases/Login/Test Case 1.1 (Manual),Edge Chromium 116,Test Case ketika user  login dengan detail yang valid.,,2023-08-25 15:56:52,2023-08-25 15:57:06,"14,089s",PASSED
openBrowser(WEB_URL),Edge Chromium 116,,,2023-08-25 15:56:52,2023-08-25 15:57:01,"8,805s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle_Home_Page""), 10)",Edge Chromium 116,,,2023-08-25 15:57:01,2023-08-25 15:57:02,"0,379s",PASSED
"click(findTestObject(""Login/Menu Burger""))",Edge Chromium 116,,,2023-08-25 15:57:02,2023-08-25 15:57:02,"0,484s",PASSED
"click(findTestObject(""Login/Menu Login""))",Edge Chromium 116,,,2023-08-25 15:57:02,2023-08-25 15:57:03,"0,952s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 10)",Edge Chromium 116,,,2023-08-25 15:57:03,2023-08-25 15:57:03,"0,367s",PASSED
"setText(findTestObject(""Login/Input Username""), ""John Doe"")",Edge Chromium 116,,,2023-08-25 15:57:03,2023-08-25 15:57:04,"0,790s",PASSED
"setEncryptedText(findTestObject(""Login/Input Password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 116,,,2023-08-25 15:57:04,2023-08-25 15:57:05,"0,531s",PASSED
"click(findTestObject(""Login/Button Login""))",Edge Chromium 116,,,2023-08-25 15:57:05,2023-08-25 15:57:06,"1,025s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Make Appointment""), 10)",Edge Chromium 116,,,2023-08-25 15:57:06,2023-08-25 15:57:06,"0,364s",PASSED
,,,,,,,
Test Cases/Login/Test Case 1.2 (manual),Edge Chromium 116,,,2023-08-25 15:57:06,2023-08-25 15:57:23,"17,173s",PASSED
openBrowser(WEB_URL),Edge Chromium 116,,,2023-08-25 15:57:06,2023-08-25 15:57:13,"6,218s",PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-25 15:57:13,2023-08-25 15:57:13,"0,137s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle_Home_Page""), 10)",Edge Chromium 116,,,2023-08-25 15:57:13,2023-08-25 15:57:13,"0,360s",PASSED
"click(findTestObject(""Login/Menu Burger""))",Edge Chromium 116,,,2023-08-25 15:57:13,2023-08-25 15:57:14,"0,450s",PASSED
"click(findTestObject(""Login/Menu Login""))",Edge Chromium 116,,,2023-08-25 15:57:14,2023-08-25 15:57:15,"0,964s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 10)",Edge Chromium 116,,,2023-08-25 15:57:15,2023-08-25 15:57:15,"0,408s",PASSED
"setText(findTestObject(""Login/Input Username""), username)",Edge Chromium 116,,,2023-08-25 15:57:15,2023-08-25 15:57:16,"0,780s",PASSED
"setEncryptedText(findTestObject(""Login/Input Password""), password)",Edge Chromium 116,,,2023-08-25 15:57:16,2023-08-25 15:57:16,"0,455s",PASSED
"click(findTestObject(""Login/Button Login""))",Edge Chromium 116,,,2023-08-25 15:57:16,2023-08-25 15:57:17,"0,976s",PASSED
"verifyElementText(findTestObject(""Login/Error""), ""Login failed! Please ensure the username and password are valid."")",Edge Chromium 116,,,2023-08-25 15:57:17,2023-08-25 15:57:18,"0,365s",PASSED
delay(5),Edge Chromium 116,,,2023-08-25 15:57:18,2023-08-25 15:57:23,"5,025s",PASSED
closeBrowser(),Edge Chromium 116,,,2023-08-25 15:57:23,2023-08-25 15:57:23,"0,735s",PASSED
,,,,,,,
Test Cases/Login/Test Case 1.3 (manual),Edge Chromium 116,,,2023-08-25 15:58:07,2023-08-25 15:58:19,"12,653s",FAILED
"openBrowser("""")",Edge Chromium 116,,,2023-08-25 15:58:07,2023-08-25 15:58:10,"3,485s",PASSED
navigateToUrl(WEB_URL),Edge Chromium 116,,,2023-08-25 15:58:10,2023-08-25 15:58:14,"3,618s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle_Home_Page""), 0)",Edge Chromium 116,,,2023-08-25 15:58:14,2023-08-25 15:58:14,"0,378s",PASSED
"click(findTestObject(""Login/Menu Burger""))",Edge Chromium 116,,,2023-08-25 15:58:14,2023-08-25 15:58:15,"0,419s",PASSED
"click(findTestObject(""Login/Menu Login""))",Edge Chromium 116,,,2023-08-25 15:58:15,2023-08-25 15:58:16,"1,075s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 0)",Edge Chromium 116,,,2023-08-25 15:58:16,2023-08-25 15:58:16,"0,380s",PASSED
"setText(findTestObject(""Login/Input Username""), username)",Edge Chromium 116,,,2023-08-25 15:58:16,2023-08-25 15:58:17,"0,871s",PASSED
