Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit Data Konsumen,Edge Chromium 116,,,2023-09-06 09:07:28,2023-09-06 09:13:24,"5m - 55,453s",FAILED
,,,,,,,
Test Cases/M08 Edit Data Konsumen/TC-Edit Data Konsumen-Edit-001,Edge Chromium 116,"Admin ingin merubah Nama lengkap, Alamat email, No hp,Tanggal lahir dan Alamat Konsumen",,2023-09-06 09:07:29,2023-09-06 09:08:20,"51,098s",PASSED
"callTestCase(findTestCase(""M08 Edit Data Konsumen/TC-Edit Data Konsumen-show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 09:07:29,2023-09-06 09:07:58,"28,370s",PASSED
"click(findTestObject(""Edit Data konsumen/buttom edit""))",Edge Chromium 116,,,2023-09-06 09:07:58,2023-09-06 09:08:04,"6,369s",PASSED
"verifyElementPresent(findTestObject(""Edit Data konsumen/tittle Edit Data Konsumen""), 0)",Edge Chromium 116,,,2023-09-06 09:08:04,2023-09-06 09:08:05,"0,546s",PASSED
"setText(findTestObject(""Edit Data konsumen/ganti password/input_Ganti Password""), password)",Edge Chromium 116,,,2023-09-06 09:08:05,2023-09-06 09:08:06,"1,126s",PASSED
"setText(findTestObject(""Edit Data konsumen/input_Nama Lengkap""), nama_lengkap)",Edge Chromium 116,,,2023-09-06 09:08:06,2023-09-06 09:08:07,"1,134s",PASSED
"setText(findTestObject(""Edit Data konsumen/Input Alamat email/input Alamat Email""), email)",Edge Chromium 116,,,2023-09-06 09:08:07,2023-09-06 09:08:08,"0,994s",PASSED
"setText(findTestObject(""Edit Data konsumen/Input no Hp/input No Hp""), no_hp)",Edge Chromium 116,,,2023-09-06 09:08:08,2023-09-06 09:08:09,"0,974s",PASSED
"uploadFile(findTestObject(""Edit Data konsumen/Edit foto/input_Ganti Foto_gg""), foto)",Edge Chromium 116,,,2023-09-06 09:08:09,2023-09-06 09:08:10,"0,630s",PASSED
"if (toString().equalsIgnoreCase(""Laki-laki""))",Edge Chromium 116,,,2023-09-06 09:08:10,2023-09-06 09:08:10,"0,586s",PASSED
"setText(findTestObject(""Edit Data konsumen/input tanggal lahir/input_Tanggal Lahir""), tanggal_lahir)",Edge Chromium 116,,,2023-09-06 09:08:10,2023-09-06 09:08:12,"1,386s",PASSED
"setText(findTestObject(""Edit Data konsumen/Alamat/input_Alamat""), Alamat)",Edge Chromium 116,,,2023-09-06 09:08:12,2023-09-06 09:08:13,"1,160s",PASSED
"click(findTestObject(""Edit Data konsumen/button_Update""))",Edge Chromium 116,,,2023-09-06 09:08:13,2023-09-06 09:08:15,"2,433s",PASSED
