Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian toko,Firefox 117.0,,,2023-10-05 07:46:39,2023-10-05 07:51:58,5m - 19.129s,FAILED
,,,,,,,
Test Cases/T05 Pencarian Toko/LA-001,Firefox 117.0,Admin Melakukan Login dengan memasukkan Username dan password yang valid,,2023-10-05 07:46:39,2023-10-05 07:47:06,26.216s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/administrator/"")",Firefox 117.0,,,2023-10-05 07:46:40,2023-10-05 07:46:46,6.213s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-05 07:46:46,2023-10-05 07:46:46,0.049s,PASSED
"verifyElementPresent(findTestObject(""Login admin/Tittle ADMIN""), 0)",Firefox 117.0,,,2023-10-05 07:46:46,2023-10-05 07:46:47,0.479s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), Username)",Firefox 117.0,,,2023-10-05 07:46:47,2023-10-05 07:46:47,0.697s,PASSED
"setText(findTestObject(""Login/input_Password""), Password)",Firefox 117.0,,,2023-10-05 07:46:47,2023-10-05 07:46:48,0.655s,PASSED
"click(findTestObject(""Login admin/buttom Remember Me""))",Firefox 117.0,,,2023-10-05 07:46:48,2023-10-05 07:46:49,0.605s,PASSED
delay(10),Firefox 117.0,,,2023-10-05 07:46:49,2023-10-05 07:46:59,10.059s,PASSED
"click(findTestObject(""Login admin/buttom sign in""))",Firefox 117.0,,,2023-10-05 07:46:59,2023-10-05 07:47:00,1.436s,PASSED
"verifyElementPresent(findTestObject(""Login admin/Tittle Dashboard""), 0)",Firefox 117.0,,,2023-10-05 07:47:00,2023-10-05 07:47:06,5.418s,PASSED
,,,,,,,
Test Cases/T05 Pencarian Toko/PT-001,Firefox 117.0,User melihat Toko dihalaman semua toko,,2023-10-05 07:47:06,2023-10-05 07:47:15,9.127s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Firefox 117.0,,,2023-10-05 07:47:06,2023-10-05 07:47:12,5.792s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-05 07:47:12,2023-10-05 07:47:12,0.019s,PASSED
