Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T05 jadi kurir,Firefox 117.0,,,2023-10-03 13:31:25,2023-10-03 13:38:45,7m - 20.431s,FAILED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-001,Firefox 117.0,User melihat peryaratan pendaftaran jadi kurir,,2023-10-03 13:31:25,2023-10-03 13:31:46,20.799s,PASSED
"callTestCase(findTestCase(""T05 Jadi Kurir/LU-001""), [""username"":""irfanafandi"", ""password"":""12345irfan""], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:31:26,2023-10-03 13:31:44,18.491s,PASSED
"click(findTestObject(""Jadi kurir/a_Jadi Kurir""))",Firefox 117.0,,,2023-10-03 13:31:44,2023-10-03 13:31:45,1.142s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:31:45,2023-10-03 13:31:46,0.755s,PASSED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-002,Firefox 117.0,User mendaftar jadi kurir,,2023-10-03 13:31:46,2023-10-03 13:32:24,37.867s,PASSED
"callTestCase(findTestCase(""T05 Jadi Kurir/JK-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:31:48,2023-10-03 13:32:09,21.497s,PASSED
"click(findTestObject(""Jadi kurir/a_Daftar  Edit Data""))",Firefox 117.0,,,2023-10-03 13:32:09,2023-10-03 13:32:11,1.391s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:32:11,2023-10-03 13:32:11,0.725s,PASSED
"selectOptionByLabel(findTestObject(""Jadi kurir/select_- Pilih Kendaraan -Roda 2Roda 4""), Jenis, false)",Firefox 117.0,,,2023-10-03 13:32:11,2023-10-03 13:32:12,0.928s,PASSED
"setText(findTestObject(""Jadi kurir/input_Merek Kendaraan""), Merek_Kendaraan)",Firefox 117.0,,,2023-10-03 13:32:12,2023-10-03 13:32:13,0.669s,PASSED
"setText(findTestObject(""Jadi kurir/input_Plat Nomor""), Plat_Nomor)",Firefox 117.0,,,2023-10-03 13:32:13,2023-10-03 13:32:14,0.703s,PASSED
"setText(findTestObject(""Jadi kurir/textarea_Keterangan""), Keterangan)",Firefox 117.0,,,2023-10-03 13:32:14,2023-10-03 13:32:15,0.765s,PASSED
waitForPageLoad(3),Firefox 117.0,,,2023-10-03 13:32:15,2023-10-03 13:32:15,0.156s,PASSED
delay(2),Firefox 117.0,,,2023-10-03 13:32:15,2023-10-03 13:32:17,2.021s,PASSED
"uploadFile(findTestObject(""Jadi kurir/input_Choose files_uploadFile""), Berkas)",Firefox 117.0,,,2023-10-03 13:32:17,2023-10-03 13:32:17,0.436s,PASSED
delay(3),Firefox 117.0,,,2023-10-03 13:32:17,2023-10-03 13:32:20,3.009s,PASSED
"click(findTestObject(""Jadi kurir/button_Simpan Perubahan""))",Firefox 117.0,,,2023-10-03 13:32:20,2023-10-03 13:32:21,1.220s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:32:21,2023-10-03 13:32:22,0.706s,PASSED
"Hasil_Jenis = getText(findTestObject(""Hasil Edit/div_Roda 4""))",Firefox 117.0,,,2023-10-03 13:32:22,2023-10-03 13:32:23,0.435s,PASSED
"Hasil_Merek = getText(findTestObject(""Hasil Edit/div_toyota supra""))",Firefox 117.0,,,2023-10-03 13:32:23,2023-10-03 13:32:23,0.440s,PASSED
"Hasil_Plat = getText(findTestObject(""Hasil Edit/div_AB 1 S""))",Firefox 117.0,,,2023-10-03 13:32:23,2023-10-03 13:32:23,0.367s,PASSED
"Hasil_Ket = getText(findTestObject(""Hasil Edit/div_mau daftar dong bang""))",Firefox 117.0,,,2023-10-03 13:32:23,2023-10-03 13:32:24,0.341s,PASSED
"berkas1 = getAttribute(findTestObject(""Object Repository/Hasil Edit/Hasil edit berkas""), ""href"").split(""/"")",Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.368s,PASSED
println(berkas1),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.006s,PASSED
"berkasUrl = size() - 1].replace("".pdf"", """")",Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.010s,PASSED
println(berkasUrl),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.001s,PASSED
"berkas_sebelumEdit = Berkas.split(""\\"")",Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.000s,PASSED
println(berkas_sebelumEdit),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.001s,PASSED
"urlBerkas = size() - 1].replace("".pdf"", """")",Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.000s,PASSED
println(urlBerkas),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.001s,PASSED
assert berkasUrl.contains(urlBerkas),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.003s,PASSED
assert trim().equalsIgnoreCase(Jenis.trim()),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.000s,PASSED
assert trim().equalsIgnoreCase(Merek_Kendaraan.trim()),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.000s,PASSED
assert trim().equalsIgnoreCase(Plat_Nomor.trim()),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.001s,PASSED
assert trim().equalsIgnoreCase(Keterangan.trim()),Firefox 117.0,,,2023-10-03 13:32:24,2023-10-03 13:32:24,0.000s,PASSED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-003,Firefox 117.0,User tidak memilih kolom jenis kendaraan,,2023-10-03 13:32:24,2023-10-03 13:32:53,28.732s,PASSED
"callTestCase(findTestCase(""T05 Jadi Kurir/JK-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:32:25,2023-10-03 13:32:43,18.433s,PASSED
"click(findTestObject(""Jadi kurir/a_Daftar  Edit Data""))",Firefox 117.0,,,2023-10-03 13:32:43,2023-10-03 13:32:44,1.050s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:32:44,2023-10-03 13:32:45,0.905s,PASSED
"selectOptionByValue(findTestObject(""Jadi kurir/select_- Pilih Kendaraan -Roda 2Roda 4""), Jenis, false)",Firefox 117.0,,,2023-10-03 13:32:45,2023-10-03 13:32:46,0.899s,PASSED
"setText(findTestObject(""Jadi kurir/input_Merek Kendaraan""), Merek_Kendaraan)",Firefox 117.0,,,2023-10-03 13:32:46,2023-10-03 13:32:46,0.674s,PASSED
"setText(findTestObject(""Jadi kurir/input_Plat Nomor""), Plat_Nomor)",Firefox 117.0,,,2023-10-03 13:32:46,2023-10-03 13:32:47,0.825s,PASSED
"setText(findTestObject(""Jadi kurir/textarea_Keterangan""), Keterangan)",Firefox 117.0,,,2023-10-03 13:32:47,2023-10-03 13:32:48,0.785s,PASSED
"uploadFile(findTestObject(""Jadi kurir/input_Choose files_uploadFile""), berkas)",Firefox 117.0,,,2023-10-03 13:32:48,2023-10-03 13:32:49,0.447s,PASSED
"click(findTestObject(""Jadi kurir/button_Simpan Perubahan""))",Firefox 117.0,,,2023-10-03 13:32:49,2023-10-03 13:32:52,3.461s,PASSED
"verifyElementPresent(findTestObject(""Hasil Edit/Massage""), 0)",Firefox 117.0,,,2023-10-03 13:32:52,2023-10-03 13:32:53,0.766s,PASSED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-004,Firefox 117.0,"User mendaftar jadi kurir, mengosongkan inputan pada kolom merek kendaraan",,2023-10-03 13:32:53,2023-10-03 13:33:18,24.773s,PASSED
"callTestCase(findTestCase(""T05 Jadi Kurir/JK-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:32:53,2023-10-03 13:33:11,17.267s,PASSED
"click(findTestObject(""Jadi kurir/a_Daftar  Edit Data""))",Firefox 117.0,,,2023-10-03 13:33:11,2023-10-03 13:33:12,1.016s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:33:12,2023-10-03 13:33:12,0.680s,PASSED
"selectOptionByValue(findTestObject(""Jadi kurir/select_- Pilih Kendaraan -Roda 2Roda 4""), Jenis, false)",Firefox 117.0,,,2023-10-03 13:33:12,2023-10-03 13:33:13,0.928s,PASSED
"clearText(findTestObject(""Jadi kurir/input_Merek Kendaraan""))",Firefox 117.0,,,2023-10-03 13:33:13,2023-10-03 13:33:14,0.420s,PASSED
"setText(findTestObject(""Jadi kurir/input_Plat Nomor""), Plat_Nomor)",Firefox 117.0,,,2023-10-03 13:33:14,2023-10-03 13:33:14,0.698s,PASSED
"setText(findTestObject(""Jadi kurir/textarea_Keterangan""), Keterangan)",Firefox 117.0,,,2023-10-03 13:33:14,2023-10-03 13:33:15,0.732s,PASSED
"uploadFile(findTestObject(""Jadi kurir/input_Choose files_uploadFile""), ""C:\Users\IRFAN\Downloads\KTP.jpg"")",Firefox 117.0,,,2023-10-03 13:33:15,2023-10-03 13:33:16,0.541s,PASSED
"click(findTestObject(""Jadi kurir/button_Simpan Perubahan""))",Firefox 117.0,,,2023-10-03 13:33:16,2023-10-03 13:33:17,1.667s,PASSED
webDriver = getWebDriver(),Firefox 117.0,,,2023-10-03 13:33:17,2023-10-03 13:33:17,0.001s,PASSED
"Merek = webDriver.findElement(By.xpath(""//input[@name=""merek""]""))",Firefox 117.0,,,2023-10-03 13:33:17,2023-10-03 13:33:18,0.289s,PASSED
"error_message = webDriver.executeScript(""return arguments[0].validationMessage"", Merek)",Firefox 117.0,,,2023-10-03 13:33:18,2023-10-03 13:33:18,0.024s,PASSED
println(error_message),Firefox 117.0,,,2023-10-03 13:33:18,2023-10-03 13:33:18,0.001s,PASSED
"assert error_message == ""Please fill out this field.""",Firefox 117.0,,,2023-10-03 13:33:18,2023-10-03 13:33:18,0.001s,PASSED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-005,Firefox 117.0,User input spesial karakter pada kolom merek kendaraan,,2023-10-03 13:33:18,2023-10-03 13:33:46,28.849s,FAILED
"callTestCase(findTestCase(""T05 Jadi Kurir/JK-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:33:18,2023-10-03 13:33:36,18.079s,PASSED
"click(findTestObject(""Jadi kurir/a_Daftar  Edit Data""))",Firefox 117.0,,,2023-10-03 13:33:36,2023-10-03 13:33:37,0.994s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:33:37,2023-10-03 13:33:38,0.797s,PASSED
"selectOptionByValue(findTestObject(""Jadi kurir/select_- Pilih Kendaraan -Roda 2Roda 4""), Jenis, false)",Firefox 117.0,,,2023-10-03 13:33:38,2023-10-03 13:33:39,0.964s,PASSED
"setText(findTestObject(""Jadi kurir/input_Merek Kendaraan""), Merek_Kendaraan)",Firefox 117.0,,,2023-10-03 13:33:39,2023-10-03 13:33:40,0.742s,PASSED
