Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"T13 Pembelian, Shipment dan Pembayaran",Edge Chromium 117,,,2023-10-05 10:45:06,2023-10-05 11:45:55,1h - 48.869s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/LU-001",Edge Chromium 117,User Melakukan Login dengan memasukkan Username dan password yang valid,,2023-10-05 10:45:06,2023-10-05 10:45:21,14.620s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-05 10:45:07,2023-10-05 10:45:15,7.554s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-05 10:45:15,2023-10-05 10:45:15,0.161s,PASSED
"verifyElementPresent(findTestObject(""Login/Home""), 0)",Edge Chromium 117,,,2023-10-05 10:45:15,2023-10-05 10:45:15,0.781s,PASSED
"click(findTestObject(""Login/a_Login""))",Edge Chromium 117,,,2023-10-05 10:45:15,2023-10-05 10:45:16,0.474s,PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 0)",Edge Chromium 117,,,2023-10-05 10:45:16,2023-10-05 10:45:17,0.695s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), username)",Edge Chromium 117,,,2023-10-05 10:45:17,2023-10-05 10:45:18,0.880s,PASSED
"setText(findTestObject(""Login/input_Password_b""), password)",Edge Chromium 117,,,2023-10-05 10:45:18,2023-10-05 10:45:18,0.870s,PASSED
"click(findTestObject(""Login/label_Ingat saya""))",Edge Chromium 117,,,2023-10-05 10:45:18,2023-10-05 10:45:19,0.456s,PASSED
"click(findTestObject(""Login/button_Masuk""))",Edge Chromium 117,,,2023-10-05 10:45:19,2023-10-05 10:45:20,1.469s,PASSED
"verifyElementPresent(findTestObject(""Login/li_Profile""), 0)",Edge Chromium 117,,,2023-10-05 10:45:20,2023-10-05 10:45:21,0.702s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-001",Edge Chromium 117,User menambahkan product ke keranjang,,2023-10-05 10:45:21,2023-10-05 10:45:42,21.228s,PASSED
