Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Edge Chromium 116,,,2023-08-31 10:45:04,2023-08-31 10:58:02,"12m - 57,744s",FAILED
,,,,,,,
Test Cases/Login/TC-Login-Failed-001,Edge Chromium 116,User login dengan menggunakan username dan password yang invalid.,,2023-08-31 10:45:04,2023-08-31 10:45:13,"8,624s",PASSED
"openBrowser(""https://www.saucedemo.com/"")",Edge Chromium 116,,,2023-08-31 10:45:04,2023-08-31 10:45:10,"5,543s",PASSED
"setText(findTestObject(""Login/input username""), ""dianty"")",Edge Chromium 116,,,2023-08-31 10:45:10,2023-08-31 10:45:11,"0,859s",PASSED
"setText(findTestObject(""Login/input password""), "" hello99"")",Edge Chromium 116,,,2023-08-31 10:45:11,2023-08-31 10:45:12,"0,876s",PASSED
"click(findTestObject(""Login/login-button""))",Edge Chromium 116,,,2023-08-31 10:45:12,2023-08-31 10:45:12,"0,462s",PASSED
"verifyElementText(findTestObject(""Login/Massage Error Username and password""), ""Epic sadface: Username and password do not match any user in this service"")",Edge Chromium 116,,,2023-08-31 10:45:12,2023-08-31 10:45:13,"0,512s",PASSED
,,,,,,,
Test Cases/Login/TC-Login-Failed-002,Edge Chromium 116,User login hanya menggunakan Username,,2023-08-31 10:45:37,2023-08-31 10:45:45,"8,145s",FAILED
"openBrowser(""https://www.saucedemo.com/"")",Edge Chromium 116,,,2023-08-31 10:45:37,2023-08-31 10:45:43,"6,125s",PASSED
"setText(findTestObject(""Login/input username""), ""standard_user"")",Edge Chromium 116,,,2023-08-31 10:45:43,2023-08-31 10:45:44,"0,774s",PASSED
"click(findTestObject(""Login/login-button""))",Edge Chromium 116,,,2023-08-31 10:45:44,2023-08-31 10:45:44,"0,415s",PASSED
"verifyElementText(findTestObject(""Login/Massage Error Password is required""), ""Login failed! Please ensure the password are valid"")",Edge Chromium 116,,,2023-08-31 10:45:44,2023-08-31 10:45:45,"0,821s",FAILED
,,,,,,,
Test Cases/Login/TC-Login-Failed-003,Edge Chromium 116,User hanya login menggunakan password yang valid saja tidak menyertakan username,,2023-08-31 10:45:45,2023-08-31 10:45:52,"7,227s",PASSED
"openBrowser(""https://www.saucedemo.com/"")",Edge Chromium 116,,,2023-08-31 10:45:45,2023-08-31 10:45:50,"5,188s",PASSED
"setText(findTestObject(""Login/input password""), ""secret_sauce"")",Edge Chromium 116,,,2023-08-31 10:45:50,2023-08-31 10:45:51,"0,847s",PASSED
"click(findTestObject(""Login/login-button""))",Edge Chromium 116,,,2023-08-31 10:45:51,2023-08-31 10:45:52,"0,411s",PASSED
"verifyElementText(findTestObject(""Login/Massage Error Username is required""), ""Epic sadface: Username is required"")",Edge Chromium 116,,,2023-08-31 10:45:52,2023-08-31 10:45:52,"0,446s",PASSED
,,,,,,,
Test Cases/Login/TC-Login-Failed-004,Edge Chromium 116,User ketika user login tidak menggunakan password dan username,,2023-08-31 10:45:52,2023-08-31 10:45:58,"6,459s",PASSED
"openBrowser(""https://www.saucedemo.com/"")",Edge Chromium 116,,,2023-08-31 10:45:52,2023-08-31 10:45:57,"5,196s",PASSED
"click(findTestObject(""Login/login-button""))",Edge Chromium 116,,,2023-08-31 10:45:57,2023-08-31 10:45:58,"0,457s",PASSED
"verifyElementText(findTestObject(""Login/Massage Error Username is required""), ""Epic sadface: Username is required"")",Edge Chromium 116,,,2023-08-31 10:45:58,2023-08-31 10:45:58,"0,511s",PASSED
,,,,,,,
Test Cases/Login/TC-Login-Locked-001,Edge Chromium 116,User login dengan akun username yang terblokir,,2023-08-31 10:45:58,2023-08-31 10:46:06,"7,559s",PASSED
"openBrowser(""https://www.saucedemo.com/"")",Edge Chromium 116,,,2023-08-31 10:45:59,2023-08-31 10:46:04,"5,090s",PASSED
"setText(findTestObject(""Login/input username""), "" locked_out_user"")",Edge Chromium 116,,,2023-08-31 10:46:04,2023-08-31 10:46:05,"0,788s",PASSED
"setText(findTestObject(""Login/input password""), ""secret_sauce"")",Edge Chromium 116,,,2023-08-31 10:46:05,2023-08-31 10:46:05,"0,832s",PASSED
"click(findTestObject(""Login/login-button""))",Edge Chromium 116,,,2023-08-31 10:46:05,2023-08-31 10:46:06,"0,581s",PASSED
,,,,,,,
Test Cases/Login/TC-Login-Success-001,Edge Chromium 116,User memasukkan username dan password yang valid,,2023-08-31 10:46:06,2023-08-31 10:46:15,"9,085s",PASSED
"openBrowser(""https://www.saucedemo.com/"")",Edge Chromium 116,,,2023-08-31 10:46:06,2023-08-31 10:46:13,"6,253s",PASSED
"setText(findTestObject(""Login/input username""), ""standard_user"")",Edge Chromium 116,,,2023-08-31 10:46:13,2023-08-31 10:46:13,"0,779s",PASSED
"setText(findTestObject(""Login/input password""), ""secret_sauce"")",Edge Chromium 116,,,2023-08-31 10:46:13,2023-08-31 10:46:14,"0,712s",PASSED
"click(findTestObject(""Login/login-button""))",Edge Chromium 116,,,2023-08-31 10:46:14,2023-08-31 10:46:15,"0,587s",PASSED
"verifyElementPresent(findTestObject(""Login/tittle Swag Labs""), 0)",Edge Chromium 116,,,2023-08-31 10:46:15,2023-08-31 10:46:15,"0,436s",PASSED
,,,,,,,
Test Cases/Products/TC-Product-AddCart-001,Edge Chromium 116,User ingin menambahkan 1 product ke dalam keranjang,,2023-08-31 10:46:15,2023-08-31 10:46:27,"11,812s",PASSED
"callTestCase(findTestCase(""Products/TC-Product-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:46:15,2023-08-31 10:46:25,"9,399s",PASSED
"click(findTestObject(""Products/button_Add to cart 1""))",Edge Chromium 116,,,2023-08-31 10:46:25,2023-08-31 10:46:25,"0,521s",PASSED
